Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9098500072956085,0.044080877639353276,0.5655118125677109,0.4464256046712399,17.747594447619928,0.3952390469610691
2,0.9390432631969452,0.023219234310090542,0.3400296691805124,0.2584506192803383,18.841144205158734,0.49450776278972625
3,0.9800342071056366,0.02279074154794216,0.3866226548328996,0.3294417340867221,21.49866975392037,0.5698481369018554
4,1.0000360929965972,0.01839665411040187,0.00010557462048382148,8.165385613210674e-05,20.67077119384184,0.6479905000329018
5,1.0000153017044067,0.01527785014361143,6.318842793007207e-05,7.815635810402454e-05,22.739856943867245,0.6875769954919815
6,0.9999991273880005,0.013798351660370826,7.713004404649837e-05,7.612604117639421e-05,20.008904253604094,0.6997239509224892
7,1.0000184679031372,0.012173089906573295,5.71247659263463e-05,7.497421628158917e-05,22.194428221059308,0.7270687946677208
8,1.0000020968914032,0.012144896602258086,4.768424236317514e-05,4.967952605511528e-05,20.853545709458906,0.7439639821648598
9,1.000002270936966,0.011699886322021484,3.736580448276072e-05,3.9612345635759996e-05,20.51853779116164,0.7472785899043083
10,0.9999963641166687,0.010812079105526208,4.171288022007502e-05,3.803475511631404e-05,24.8579561440557,0.7415790686011314
11,0.9999966180324554,0.008854427514597774,5.6412001922581114e-05,5.3160980769462185e-05,21.46100202193208,0.768485063612461
12,0.9999960100650788,0.009045001585036516,9.254206284367683e-05,8.839570757118053e-05,24.160511596098225,0.7770738351345062
13,0.999999030828476,0.008935364251956344,4.8022388245954065e-05,4.7158157567537277e-05,21.71998714480287,0.7844768416881561
14,1.0000011956691741,0.008879050947725772,4.722460120319738e-05,4.8340612402171246e-05,23.18259259489681,0.7984494531154632
15,1.0000113475322723,0.009411196988075972,5.189246285226545e-05,6.279864800490031e-05,24.92888857649472,0.7856253510713578
16,1.000004849433899,0.007920656800270081,6.756972533366934e-05,7.210626544519983e-05,24.609840056414434,0.8011664223670959
17,0.9999870502948761,0.007444937620311976,5.8304233016315264e-05,4.570313108160917e-05,26.313351562960428,0.8212568575143814
18,0.9999986863136292,0.006552826222032309,8.980688988231123e-05,8.88207023308496e-05,19.88735177882716,0.7895588839054107
19,0.999998072385788,0.008474966380745172,6.377242990993182e-05,6.160126880786266e-05,25.69226630186027,0.8109617763757706
20,0.9999906837940216,0.0062610625429078935,9.350890699352022e-05,8.471160484987195e-05,24.753355959400483,0.8207392114400863
21,0.999978450536728,0.005906215310096741,0.00017734271816152614,0.00015849184015678474,26.188800416008103,0.8357851791381836
22,0.9998413097858428,0.005885305721312762,0.002499441912441398,0.0032633099398663035,24.10728333789458,0.826453046798706
23,1.0004022169113158,0.006784792197868228,0.0018209513314297965,0.0008215768884065255,24.649765197997514,0.8361724758148193
24,0.9999998378753662,0.0056174542475491765,3.2337605762222665e-06,3.083572601525475e-06,25.260175213750937,0.830120205283165
25,1.0000004577636719,0.00531231832690537,4.138664962738403e-06,4.6013058673111115e-06,25.62648242720208,0.8510427993535995
26,1.0000002193450928,0.005518064955249429,3.98640291848551e-06,4.203385872187937e-06,26.781056815896758,0.853220494389534
27,1.0000001621246337,0.005157466125674546,5.049884035202013e-06,5.209541549220376e-06,26.77787453954801,0.8529941982030869
28,1.0000005447864533,0.004837398556992412,5.012891892874904e-06,5.559817630569341e-06,26.435864571547583,0.8536593830585479
29,1.00000039935112,0.005221977257169783,5.328042784640275e-06,5.73357250857498e-06,22.17630472352862,0.847102000117302
30,0.999999897480011,0.004896270390599966,5.1255977797382004e-06,5.026003006776136e-06,27.016129080105994,0.8578666418790817
31,0.9999994540214538,0.004976910063996911,4.447996348631023e-06,3.911967613134948e-06,25.49287373021704,0.8392863744497299
32,0.9999995243549347,0.005549534750171006,4.517161403327918e-06,4.037559673264468e-06,25.171600432236207,0.8514123773574829
33,0.9999997723102569,0.004458716497756541,3.2044742658854375e-06,2.9728405316120642e-06,27.00270118089285,0.8604227459430694
34,0.9999996459484101,0.00445064612198621,3.2863677557770642e-06,2.926323120959751e-06,27.381480845004937,0.8663341248035431
35,0.9999997091293334,0.004946368457749486,3.783965729553529e-06,3.4986833631478474e-06,27.412688690982744,0.8667236655950546
36,1.0000001299381256,0.0049718465097248555,3.250449069014394e-06,3.3720355756372556e-06,26.786470061978438,0.8626278841495514
37,0.9999998784065247,0.00461500664241612,4.539049339200574e-06,4.416613985824824e-06,27.02086805725516,0.8694107276201248
38,0.9999997758865357,0.00437545039691031,4.620681555707051e-06,4.398339048066191e-06,26.956755207960278,0.8657562053203582
39,0.9999993920326233,0.0045643321610987185,5.590347028601173e-06,4.980332882382754e-06,27.558712748562726,0.8687375456094741
