Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8192744382222493,0.24074300507704416,0.5943393476804097,0.38136152664820355,10.97674504117047,0.24966428777202965
2,0.7921222337086995,0.15261398613452912,0.5218306450049083,0.29226555783844865,12.402573612014283,0.17954885616898536
3,0.9541189257303874,0.13569209943215052,0.11471171584470237,0.05324238267518619,15.7998170170215,0.26986789390444754
4,0.9903893375396728,0.09531645973523457,0.5360695012410481,0.5425237343708674,12.310142682429042,0.268174394890666
5,0.9890853985150655,0.09216000775496165,0.5779272572199503,0.5667233085632324,18.864624957746738,0.44768902122974397
6,0.953045350710551,0.0580176638563474,0.5466714302698771,0.48378608862559,20.107393815428264,0.5243314045667649
7,0.9696673019727071,0.09588441262642543,0.5553214049339295,0.5128439859549204,19.08391169866988,0.4828904082626104
8,0.9583663002649943,0.06229215959707896,0.5547968689600626,0.5122526319821675,18.512390278775733,0.532225396335125
9,0.9965481138229371,0.05167272667090098,0.5490401975313822,0.5391477131843567,21.26027745073399,0.5488138059526682
10,0.9945138629277547,0.048658678233623506,0.6006430808703105,0.5948033984502157,19.683440127630256,0.576233047619462
11,0.9928300420443217,0.07663241416215896,0.5823071908950805,0.5721606612205505,18.120260898704835,0.5111748892068863
12,1.0137313397725423,0.03941596483190855,0.5741028968493144,0.5882698210080465,20.38783752054327,0.6334563398361206
13,0.981040510336558,0.03957134172320366,0.6563620082537334,0.6371808807055156,19.289247135475428,0.6479415847361087
14,0.9806765079498291,0.03836737583080928,0.6406920552253723,0.6212051304181417,21.85763908254212,0.6637548223137856
15,0.9926948062578838,0.04268872871994972,0.6316971329847971,0.6237883035341899,22.081175801835485,0.6751341116428375
16,0.9989596033096313,0.034361331338683763,0.6263534259796143,0.6250123063723246,22.972269006472274,0.6950646886229515
17,0.9920669221878051,0.028709268694122634,0.6785886843999227,0.6704804801940918,21.274750493828662,0.6937941472232342
18,0.9733460187911988,0.03852697509030501,0.6366260981559754,0.6097418642044068,21.20539741555759,0.664872945100069
19,0.9939654779434204,0.030847758303085962,0.6411830663681031,0.6349899848302205,22.557187753260642,0.702769446671009
20,0.972315632502238,0.024807414685686428,0.6828353786468506,0.653547379175822,23.65124472355257,0.7109892439842224
21,0.9904473304748536,0.019010529965162278,0.6410665877660116,0.6315716457366943,23.17845232739261,0.7378737889230251
