Epoch ,Loss_D             ,Loss_G                ,Score_D             ,Score_G             ,PSNR               ,SSIM
1     ,0.9572175049781799 ,0.036377033963799474  ,0.42651044070720673 ,0.37360934525728223 ,17.373446806970353 ,0.4613943934440613
2     ,0.993383812904358  ,0.013563555981963873  ,0.6798498773574829  ,0.6796563947200776  ,16.75621639730501  ,0.49485118821263313
3     ,1.0018841791152955 ,0.012445847615599631  ,0.7499040615558624  ,0.7485227239131927  ,19.001112751931593 ,0.5769120800495148
4     ,0.9967996501922607 ,0.014111115699633955  ,0.817386976480484   ,0.8171186637878418  ,17.928687179127593 ,0.46634821623563766
5     ,0.9976743030548095 ,0.010471519418060779  ,0.922173376083374   ,0.9182066369056702  ,20.98733983593526  ,0.6305856403708457
6     ,1.000992614030838  ,0.007095785685814917  ,0.9952422857284546  ,0.9984343826770783  ,22.439679107553726 ,0.6356220439076423
7     ,0.9999862110614777 ,0.006129343146458268  ,0.9997852432727814  ,0.999768898487091   ,19.19909598979141  ,0.6718806275725364
8     ,1.0000497341156005 ,0.006506361626088619  ,0.9999059784412384  ,0.9999562609195709  ,22.44217456552825  ,0.6958360636234283
9     ,1.0000126338005066 ,0.006061460883356631  ,0.9999322724342347  ,0.9999449121952056  ,19.858219698866723 ,0.7108091253042221
10    ,1.0000203669071197 ,0.005126895122230053  ,0.9998567163944244  ,0.9998776984214782  ,23.025132894804415 ,0.7350686702132225
11    ,1.00000284075737   ,0.004735874342732132  ,0.9999515044689179  ,0.9999541974067688  ,24.50446175887191  ,0.7531586289405823
12    ,0.9999883115291596 ,0.0048001290275715295 ,0.9999392628669739  ,0.9999268507957458  ,22.471232676981785 ,0.7570091426372528
13    ,0.9999768698215484 ,0.004226531363092363  ,0.9998203194141388  ,0.9997802686691284  ,24.278658305024273 ,0.7726356947422027
14    ,0.9999979364871979 ,0.004074319722130895  ,0.9998761641979218  ,0.9998613822460175  ,22.963154686396592 ,0.7752633652091027
15    ,1.0000828099250794 ,0.003792299039196223  ,0.9997146844863891  ,0.9997759330272674  ,25.287982642491905 ,0.790633411705494
16    ,1.0000021851062775 ,0.004364078002981842  ,0.9999862766265869  ,0.999988487958908   ,19.34699559114906  ,0.7293771505355835
17    ,0.9999970459938049 ,0.005768906469456852  ,0.9999925208091736  ,0.9999895143508911  ,21.866009449334594 ,0.7279395797848701
18    ,1.0000008046627045 ,0.0065899723675102    ,0.9999865198135376  ,0.9999872815608978  ,24.734033862800032 ,0.7760032936930656
19    ,1.000004117488861  ,0.007336134891957045  ,0.9999859690666199  ,0.9999897515773774  ,22.72806594671478  ,0.7539066770672798
20    ,0.9999867105484008 ,0.004658206426538527  ,0.9999900555610657  ,0.999975049495697   ,23.633291153036865 ,0.7827545201778412
21    ,0.9999976277351379 ,0.0039659099956043066 ,0.9999883842468261  ,0.9999859714508057  ,25.520548126777754 ,0.8072617012262344
22    ,0.9999980473518372 ,0.0033015538402833043 ,0.9999805355072021  ,0.9999785327911377  ,25.516769254603634 ,0.8157022339105606
23    ,1.0000048351287842 ,0.002839964481536299  ,0.9999822974205017  ,0.9999872136116028  ,26.138926083100074 ,0.8048409229516983
24    ,1.0000035655498505 ,0.0027887551765888928 ,0.9999863231182098  ,0.9999899566173553  ,25.66820149851313  ,0.8275461637973786
25    ,1.0000109624862672 ,0.0030133237782865763 ,0.99997105717659    ,0.999982203245163   ,24.735739674398573 ,0.8086631995439529
26    ,0.9999996435642242 ,0.0026639360841363667 ,0.9999872398376465  ,0.9999868106842041  ,26.554425164070203 ,0.837409862279892
27    ,1.0000019466876984 ,0.002392732654698193  ,0.9999694585800171  ,0.9999713897705078  ,26.347520650420723 ,0.8203528958559037
28    ,0.9999989104270935 ,0.0023058420489542185 ,0.9999875092506408  ,0.9999862384796142  ,26.99430455842302  ,0.8371344411373138
29    ,0.9999990749359131 ,0.0021674936567433177 ,0.9999904322624207  ,0.9999894499778748  ,24.0754382582697   ,0.8020564126968384
30    ,0.9999944913387299 ,0.0024945579352788627 ,0.9999919664859772  ,0.9999860906600953  ,25.123082475034273 ,0.8346996188163758
31    ,0.9999807298183441 ,0.00308915858855471   ,0.9999539053440094  ,0.9999300038814545  ,26.062135957358716 ,0.8393125021457672
32    ,1.0000065612792968 ,0.002347052893601358  ,0.999949826002121   ,0.9999565982818603  ,26.78373732166068  ,0.8481882196664811
33    ,0.9999975037574768 ,0.0021268855023663493 ,0.9999755132198334  ,0.9999726939201355  ,26.590961382458822 ,0.8526256304979324
34    ,1.0000024139881134 ,0.0024248810566496106 ,0.9999677836894989  ,0.9999700808525085  ,26.19619938032796  ,0.8462517029047012
35    ,1.000007337331772  ,0.0023488432727754114 ,0.9999767863750457  ,0.999984107017517   ,26.2805300031542   ,0.8494615286588669
36    ,0.999981826543808  ,0.001944143535802141  ,0.9999598777294159  ,0.9999360668659211  ,27.459152486987403 ,0.8614264744520187
37    ,0.9999930703639984 ,0.002017069304129109  ,0.9999756395816803  ,0.9999578249454498  ,27.41711497706866  ,0.8603924053907395
38    ,1.0000479698181153 ,0.0019440684129949659 ,0.9999066424369812  ,0.9999562406539917  ,27.593698011610165 ,0.8542920029163361
39    ,1.000000637769699  ,0.00223661879892461   ,0.9999939393997193  ,0.9999945890903473  ,27.23234337885197  ,0.8645547425746918
40    ,0.9999988281726837 ,0.002045160373672843  ,0.9999849426746369  ,0.9999836838245392  ,26.60959863586583  ,0.8544917267560959
41    ,1.0000003325939177 ,0.0018540723330806941 ,0.9999964499473571  ,0.9999967861175537  ,27.697604299826658 ,0.8686015433073044
